postnr,poststed,kommune,NO 1,NO 2,NO 3,NO 4,NO 5
1272,OSLO,0301,169969.169650123,0,0,0,0
1273,OSLO,0301,160599.255700007,0,0,0,0
1274,OSLO,0301,442450.796399958,0,0,0,0
1275,OSLO,0301,467966.484950051,0,0,0,0
1278,OSLO,0301,390844.365199922,0,0,0,0
1279,OSLO,0301,12680729.9366499,0,0,0,0
1281,OSLO,0301,474361.669350002,0,0,0,0
1283,OSLO,0301,566058.421950028,0,0,0,0
1284,OSLO,0301,477967.553300113,0,0,0,0
1285,OSLO,0301,1108685.61530018,0,0,0,0
1286,OSLO,0301,82898.9157999028,0,0,0,0
1290,OSLO,0301,3445788.4409996,0,0,0,0
1291,OSLO,0301,1991526.50385018,0,0,0,0
1294,OSLO,0301,383842.585750088,0,0,0,0
1295,OSLO,0301,1200410.9461999,0,0,0,0
1311,HØVIKODDEN,3024,249048.800750113,0,0,0,0
1336,SANDVIKA,3024,1094902.01559995,0,0,0,0
1337,SANDVIKA,3024,387758.731949993,0,0,0,0
1337,SANDVIKA,3024,2730627.49694983,0,0,0,0
1338,SANDVIKA,3024,1440265.69600029,0,0,0,0
1339,VØYENENGA,3024,4754957.97969948,0,0,0,0
1340,SKUI,3024,40606983.0932,0,0,0,0
1341,SLEPENDEN,3024,26546015.2706493,0,0,0,0
1344,HASLUM,3024,2980858.23605006,0,0,0,0
1346,GJETTUM,3024,5313388.25884974,0,0,0,0
1348,RYKKINN,3024,1339414.7120499,0,0,0,0
1349,RYKKINN,3024,2135327.8340501,0,0,0,0
1350,LOMMEDALEN,3024,55369303.4161009,0,0,0,0
